number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_window_metrics,state
0,0.4388320738982309,2026-08-23 10:59:52.502854,2026-08-23 11:09:32.563005,0 days 00:09:40.060151,0.7046065241548528,0.08741169448864673,10,4,575,0.00017775399007348227,2.9154431891537547,0.8595304694689628,"[{'start': '2016-10-01', 'end': '2016-10-16', 'rmsle': 0.5091832479975178, 'mae': 55.777146397320536, 'wape': 0.11889438789666197}, {'start': '2017-03-01', 'end': '2017-03-16', 'rmsle': 0.4125004366697965, 'mae': 72.58130608380803, 'wape': 0.14857880359551356}, {'start': '2017-06-01', 'end': '2017-06-16', 'rmsle': 0.3948125370273785, 'mae': 69.3856398119002, 'wape': 0.1388536175203256}]",COMPLETE
1,0.4313979899014158,2026-08-23 11:09:32.653193,2026-08-23 11:19:03.543819,0 days 00:09:30.890626,0.9413549242801476,0.020846957895078073,9,5,620,0.0006053891567028107,0.00541524411940254,0.989468448256698,"[{'start': '2016-10-01', 'end': '2016-10-16', 'rmsle': 0.48676245360186277, 'mae': 53.742046519168376, 'wape': 0.11455637546773828}, {'start': '2017-03-01', 'end': '2017-03-16', 'rmsle': 0.41363901843208356, 'mae': 71.90229630682305, 'wape': 0.14718882502200054}, {'start': '2017-06-01', 'end': '2017-06-16', 'rmsle': 0.393792497670301, 'mae': 70.23257802569549, 'wape': 0.1405484989845664}]",COMPLETE
2,0.44859833279550165,2026-08-23 11:19:03.642426,2026-08-23 11:26:34.741744,0 days 00:07:31.099318,0.8641485131528328,0.047753845433560704,8,3,561,0.0018051899059704864,0.029204338471814112,0.7519301990693147,"[{'start': '2016-10-01', 'end': '2016-10-16', 'rmsle': 0.5098665416516193, 'mae': 52.72641373488527, 'wape': 0.11239145585433685}, {'start': '2017-03-01', 'end': '2017-03-16', 'rmsle': 0.4450282612659464, 'mae': 83.12444406555805, 'wape': 0.17016131446493837}, {'start': '2017-06-01', 'end': '2017-06-16', 'rmsle': 0.3909001954689392, 'mae': 67.66875981315938, 'wape': 0.1354178201518827}]",COMPLETE
3,0.42785470040409623,2026-08-23 11:26:34.830981,2026-08-23 11:35:30.774120,0 days 00:08:55.943139,0.8573450991017149,0.0299058938693663,9,1,591,0.04102689328356392,0.004809461967501573,0.8299820534447641,"[{'start': '2016-10-01', 'end': '2016-10-16', 'rmsle': 0.47269791428042657, 'mae': 53.5035802336264, 'wape': 0.11404806149176791}, {'start': '2017-03-01', 'end': '2017-03-16', 'rmsle': 0.41705009529049886, 'mae': 71.92025886440669, 'wape': 0.14722559558262138}, {'start': '2017-06-01', 'end': '2017-06-16', 'rmsle': 0.3938160916413634, 'mae': 68.73772213233991, 'wape': 0.13755701329636497}]",COMPLETE
4,0.5054297373129112,2026-08-23 11:35:30.866711,2026-08-23 11:40:53.578368,0 days 00:05:22.711657,0.7566148192106797,0.13996426971690923,10,2,513,0.08768125777016172,0.057624872164786026,0.9329390718407614,,PRUNED
5,0.42731210451064827,2026-08-23 11:40:53.673853,2026-08-23 11:46:27.315286,0 days 00:05:33.641433,0.7405729935600059,0.02143492944833733,7,14,524,0.0021911831937321256,0.12030178871154672,0.9682621407275738,"[{'start': '2016-10-01', 'end': '2016-10-16', 'rmsle': 0.4656353269932656, 'mae': 56.88281325275385, 'wape': 0.12125122384983088}, {'start': '2017-03-01', 'end': '2017-03-16', 'rmsle': 0.41522964179337296, 'mae': 68.53415913390558, 'wape': 0.14029402223462972}, {'start': '2017-06-01', 'end': '2017-06-16', 'rmsle': 0.4010713447453062, 'mae': 68.16734409053515, 'wape': 0.13641558036192125}]",COMPLETE
6,0.4196141434201315,2026-08-23 11:46:27.411845,2026-08-23 11:51:54.714543,0 days 00:05:27.302698,0.9788246295474662,0.14108340900523528,6,18,609,0.03728942986384152,4.869640941520899,0.9212964881763901,"[{'start': '2016-10-01', 'end': '2016-10-16', 'rmsle': 0.4466445178391002, 'mae': 57.53709247816027, 'wape': 0.12264588336618676}, {'start': '2017-03-01', 'end': '2017-03-16', 'rmsle': 0.42213040240002986, 'mae': 75.09196133426515, 'wape': 0.1537182833525048}, {'start': '2017-06-01', 'end': '2017-06-16', 'rmsle': 0.39006751002126444, 'mae': 67.01382553984467, 'wape': 0.1341071744140279}]",COMPLETE
7,0.44937922589837764,2026-08-23 11:51:54.815781,2026-08-23 11:54:52.076666,0 days 00:02:57.260885,0.7860370513913187,0.021908197340907744,6,6,517,0.36679624869307004,0.026730883107816707,0.7638656157671425,,PRUNED
8,0.4290452210470459,2026-08-23 11:54:52.161328,2026-08-23 12:01:53.365908,0 days 00:07:01.204580,0.6760927252879199,0.02656729425831747,8,20,556,0.20962733672452427,0.0062353771356731605,0.9307689432639139,"[{'start': '2016-10-01', 'end': '2016-10-16', 'rmsle': 0.475395628451341, 'mae': 54.05309461198749, 'wape': 0.11521940459330017}, {'start': '2017-03-01', 'end': '2017-03-16', 'rmsle': 0.4170882455771622, 'mae': 72.58924858165953, 'wape': 0.1485950624215393}, {'start': '2017-06-01', 'end': '2017-06-16', 'rmsle': 0.39465178911263454, 'mae': 67.59541155481423, 'wape': 0.13527103659497308}]",COMPLETE
9,0.46413568128798016,2026-08-23 12:01:53.456238,2026-08-23 12:06:51.129544,0 days 00:04:57.673306,0.919944621340081,0.0830947290430651,9,2,501,0.0034815437009482735,0.0029072088906598446,0.9051525088143455,,PRUNED
